date,pageviews,printings,clicks,rpm,rpmp,activeviews,earns
7/18/2018,25,24,0,"0,00","0,00","94,74%","0,00"
7/19/2018,30,30,1,"0,44","0,44","100,00%","0,01"
7/20/2018,33,32,0,"0,01","0,01","93,75%","0,00"
7/21/2018,70,70,2,"1,77","1,77","98,55%","0,12"
7/22/2018,26,25,1,"0,62","0,65","95,45%","0,02"
7/23/2018,34,33,0,"0,31","0,32","81,25%","0,01"
7/24/2018,26,26,0,"0,19","0,19","92,00%","0,00"
7/25/2018,28,27,1,"4,66","4,84","96,15%","0,13"
7/26/2018,35,35,0,"0,06","0,06","93,33%","0,00"
7/27/2018,17,17,0,"0,06","0,06","82,35%","0,00"
7/28/2018,31,30,0,"0,09","0,09","84,62%","0,00"
7/29/2018,27,26,0,"0,00","0,00","95,45%","0,00"
7/30/2018,24,23,0,"0,03","0,03","95,65%","0,00"
7/31/2018,43,42,1,"0,53","0,55","87,18%","0,02"
8/1/2018,29,29,0,"0,09","0,09","91,67%","0,00"
8/2/2018,21,18,0,"0,23","0,27","82,35%","0,00"
8/3/2018,24,24,1,"2,74","2,74","90,48%","0,07"
8/4/2018,40,40,0,"0,00","0,00","96,55%","0,00"
8/5/2018,45,45,0,"0,02","0,02","100,00%","0,00"
8/6/2018,33,31,1,"6,34","6,75","100,00%","0,21"
8/7/2018,25,25,0,"0,00","0,00","86,96%","0,00"
8/8/2018,71,70,0,"0,01","0,01","93,85%","0,00"
8/9/2018,80,79,3,"3,14","3,18","92,21%","0,25"
8/10/2018,37,37,1,"1,30","1,30","94,29%","0,05"
8/11/2018,44,35,0,"0,02","0,03","79,41%","0,00"
8/12/2018,29,26,3,"72,35","80,70","91,67%","2,10"
8/13/2018,47,44,1,"1,10","1,18","93,02%","0,05"
8/14/2018,43,42,0,"0,13","0,13","97,56%","0,01"
8/15/2018,47,44,0,"0,10","0,11","74,42%","0,00"
8/16/2018,95,94,0,"0,09","0,09","88,89%","0,01"
8/17/2018,39,41,0,"0,03","0,03","94,29%","0,00"
8/18/2018,51,57,0,"0,05","0,04","90,00%","0,00"
8/19/2018,52,52,2,"2,01","2,01","84,00%","0,10"
8/20/2018,46,45,0,"0,08","0,08","88,89%","0,00"
8/21/2018,60,57,0,"0,08","0,09","92,98%","0,00"
8/22/2018,40,39,2,"6,93","7,11","72,97%","0,28"
8/23/2018,58,58,3,"14,36","14,36","60,00%","0,83"
8/24/2018,39,39,4,"8,67","8,67","71,43%","0,34"
8/25/2018,34,32,1,"11,88","12,62","87,10%","0,40"
8/26/2018,20,19,0,"0,02","0,02","84,21%","0,00"
8/27/2018,112,112,0,"0,14","0,14","84,82%","0,02"
8/28/2018,35,33,0,"0,25","0,26","81,25%","0,01"
8/29/2018,43,42,0,"0,27","0,28","69,05%","0,01"
8/30/2018,48,46,1,"0,06","0,06","69,77%","0,00"
8/31/2018,38,36,0,"0,67","0,71","81,82%","0,03"
9/1/2018,55,51,0,"0,05","0,05","85,71%","0,00"
9/2/2018,36,33,0,"0,20","0,22","78,12%","0,01"
9/3/2018,54,52,2,"6,47","6,71","97,92%","0,35"
9/4/2018,28,24,0,"0,70","0,82","83,33%","0,02"
9/5/2018,38,38,0,"0,27","0,27","81,08%","0,01"
9/6/2018,40,40,0,"0,21","0,21","75,00%","0,01"
9/7/2018,21,20,0,"0,11","0,12","90,00%","0,00"
9/8/2018,24,24,0,"0,10","0,10","100,00%","0,00"
9/9/2018,23,20,0,"0,02","0,03","90,00%","0,00"
9/10/2018,35,35,0,"0,14","0,14","84,85%","0,00"
9/11/2018,64,57,0,"0,16","0,18","81,48%","0,01"
9/12/2018,35,32,0,"0,18","0,20","87,10%","0,01"
9/13/2018,81,78,0,"0,07","0,08","83,12%","0,01"
9/14/2018,94,93,1,"2,13","2,15","87,78%","0,20"
9/15/2018,47,43,1,"3,83","4,19","91,67%","0,18"
9/16/2018,25,24,0,"0,01","0,01","82,61%","0,00"
9/17/2018,64,63,2,"0,11","0,11","90,32%","0,01"
9/18/2018,86,83,0,"0,25","0,26","76,54%","0,02"
9/19/2018,76,69,1,"2,47","2,72","69,12%","0,19"
9/20/2018,54,48,0,"0,19","0,22","80,43%","0,01"
9/21/2018,95,95,3,"0,86","0,86","82,11%","0,08"
9/22/2018,77,70,0,"0,04","0,05","97,06%","0,00"
9/23/2018,76,74,3,"4,96","5,10","62,16%","0,38"
9/24/2018,53,51,1,"0,85","0,88","78,00%","0,04"
9/25/2018,27,22,0,"0,30","0,37","61,90%","0,01"
9/26/2018,54,50,0,"0,39","0,43","84,00%","0,02"
9/27/2018,28,28,0,"0,47","0,47","73,08%","0,01"
9/28/2018,33,32,0,"0,26","0,26","85,71%","0,01"
